stage,L,Nv,q,W,alpha,bc,placement,n_real,seed_base,n_spacings,D_pooled,p_pooled,D_min,D_med,D_max,mean_abs_dR2,d_GUE,d_Pois,r_mean,D_excess,ks_pass,r2_pass,gue_closer,stab_pass,composite_ok,runtime_s
A,24,2,1.0,0.5,0.5,open,protocol,3,96,1029,0.0922664,6.13151e-08,0.0996291,0.101522,0.103246,0.0978028,0.0927411,0.16554,0.594104,0.0598164,True,True,True,True,True,0.212877
A,24,2,1.0,1.0,0.5,open,protocol,3,96,1029,0.0731506,3.78743e-05,0.0531293,0.0929968,0.0955214,0.107123,0.101227,0.187416,0.589802,0.0407006,True,False,True,True,False,0.213772
A,24,3,0.2,0.0,0.5,open,protocol,3,96,1029,0.550285,1.10776e-267,0.522486,0.566995,0.572637,0.398414,0.393074,0.300971,0.363149,0.517835,False,False,False,True,False,0.238597
A,24,3,0.2,0.5,0.5,open,protocol,3,96,1029,0.493803,1.23687e-215,0.472087,0.511475,0.513665,0.332854,0.329577,0.248372,0.400624,0.461353,False,False,False,True,False,0.209618
A,24,3,0.2,1.0,0.5,open,protocol,3,96,1029,0.444822,4.65871e-175,0.392628,0.46901,0.482781,0.266565,0.256967,0.1825,0.424639,0.412372,False,False,False,True,False,0.213676
A,24,3,0.3,0.0,0.5,open,protocol,3,96,1029,0.432596,1.36726e-165,0.424976,0.426473,0.465027,0.305044,0.298879,0.227725,0.41088,0.400146,False,False,False,True,False,0.214924
A,24,3,0.3,0.5,0.5,open,protocol,3,96,1029,0.385345,1.76364e-131,0.356835,0.397007,0.414347,0.234777,0.231191,0.174389,0.445671,0.352895,False,False,False,True,False,0.2095
A,24,3,0.3,1.0,0.5,open,protocol,3,96,1029,0.337225,8.58507e-101,0.291343,0.368981,0.373665,0.211638,0.205269,0.158166,0.470332,0.304775,False,False,False,True,False,0.208439
A,24,3,0.5,0.0,0.5,open,protocol,3,96,1029,0.228075,2.46065e-46,0.232303,0.233794,0.253871,0.173061,0.166178,0.164311,0.504873,0.195625,False,False,False,True,False,0.234689
A,24,3,0.5,0.5,0.5,open,protocol,3,96,1029,0.210972,1.04306e-39,0.20137,0.207121,0.230398,0.160402,0.157265,0.165049,0.531958,0.178522,False,False,True,True,False,0.213161
A,24,3,0.5,1.0,0.5,open,protocol,3,96,1029,0.190965,1.3043e-32,0.15908,0.209618,0.218327,0.15458,0.149194,0.167998,0.540186,0.158515,False,False,True,True,False,0.213051
A,24,3,0.7,0.0,0.5,open,protocol,3,96,1029,0.132301,7.12439e-16,0.123903,0.142659,0.148452,0.132335,0.125574,0.175126,0.542442,0.0998511,False,False,True,True,False,0.205687
