s_AB,s_zeta
0.66270607,0.63690992
1.41164045,1.49918914
0.69476682,0.66061809
0.10006370,1.42092858
2.01185900,0.62721622
1.26329441,1.10099555
0.29445746,1.05715892
2.35050244,0.44606863
0.87148783,0.93325524
0.26834849,2.10615281
0.75414964,0.64272765
0.88100663,0.63945480
1.00754462,1.24569943
0.93222584,0.67078356
0.66422300,1.08923637
0.81641780,1.08045964
0.49566329,0.82887932
1.55068478,1.26545972
1.53301203,0.96136484
0.48238408,1.34631595
0.62348564,0.85623143
0.84535123,0.69589165
1.12138817,0.64792689
1.31447511,1.18617090
1.39639897,1.19198513
1.38612925,1.22906554
0.94875106,1.30639297
0.82342038,0.47110822
0.31529750,0.70303898
0.76427801,1.72384736
1.73056428,0.37304430
1.38623729,1.23722248
1.46499216,0.46003782
1.19328731,1.72141631
0.64532136,1.22720890
0.26325661,0.75479682
1.49651577,0.87227806
0.75216554,0.84990798
0.76086647,0.93736373
1.54722234,0.73940235
0.52630234,1.81182112
0.62103806,0.62605403
1.34002771,1.02050439
0.76737583,1.05188388
0.47063938,1.30165110
1.48381999,0.40339148
1.42202870,1.18329209
0.83499916,0.83488162
0.06648688,0.75587976
2.71761655,1.79932877
0.48422527,1.08536934
1.39694819,0.62137502
0.72534264,1.05664148
0.92386330,0.37797287
0.46440783,1.64357792
1.25352557,0.79678901
1.48507249,0.74071759
